,id,name,popularity
0,52997,Rob Corddry,3.615
1,64342,Craig Robinson,2.5540000000000003
2,54729,Clark Duke,2.81
3,36801,Adam Scott,1.74
4,54812,Chevy Chase,2.3040000000000003
5,94098,Gillian Jacobs,2.792
6,1159009,Bianca Haase,1.517
7,86624,Collette Wolfe,4.444
8,466505,Kumail Nanjiani,1.22
9,70776,Kellee Stewart,1.38
10,1449071,Kelly Cantley,0.6
11,3227,Steve Pink,1.4
12,347335,Josh Heald,0.84
13,57822,Andrew Panay,0.6
14,1451395,Adam Blum,0.6
15,62807,Ben Ormand,0.6
16,23486,Christophe Beck,0.98
17,6117,Declan Quinn,0.6
18,1813,Anne Hathaway,10.459000000000001
19,5823,Julie Andrews,2.7760000000000002
20,1210,Héctor Elizondo,2.612
21,655,John Rhys-Davies,3.3169999999999997
22,33656,Heather Matarazzo,1.4
23,62064,Chris Pine,10.448
24,68287,Callum Blue,2.188
25,1211,Larry Miller,2.7439999999999998
26,66896,Raven-Symoné,2.21
27,303542,Kathleen Marshall,0.6
28,1201,Garry Marshall,1.4
29,1214,Charles Minsky,0.6
30,4500,John Debney,0.6
31,8851,Whitney Houston,1.7719999999999998
32,12970,Bruce Green,0.98
33,38415,Mario Iscovich,0.6
34,38416,Ellen H. Schwartz,0.6
35,59973,Debra Martin Chase,0.6
36,25539,Shonda Rhimes,0.9690000000000001
37,996701,Miles Teller,13.003
38,18999,J.K. Simmons,8.352
39,129104,Melissa Benoist,4.649
40,970216,Austin Stowell,3.082
41,223012,Jayson Blair,0.6
42,159366,Kavita Patil,0.75
43,781,Paul Reiser,2.3280000000000003
44,1451540,Nate Lang,0.6
45,15824,Chris Mulkey,1.4
46,53454,Damon Gupton,0.6
47,494,Terri Taylor,0.6
48,6745,Richard Henderson,0.98
49,9250,Jeffrey Stott,1.4
50,23783,Heather Plott,0.6
51,23786,Nacoma Whobrey,0.6
52,53181,Sharone Meir,0.6
53,52443,Jason Reitman,2.588
54,60864,David Lancaster,0.6
55,66726,Michel Litvak,0.6
56,66727,Gary Michael Walters,0.6
57,35068,Vidya Balan,0.922
58,85047,Nawazuddin Siddiqui,1.3880000000000001
59,1021524,Parambrata Chatterjee,0.732
60,1093644,Saswata Chatterjee,0.6
61,86033,Indraneil Sengupta,0.6
62,92686,Darshan Jariwala,1.62
63,35821,Masood Akhtar,0.6
64,95510,Sujoy Ghosh,1.96
65,84751,Kim Kang-woo,1.38
66,64453,Cho Jae-hyun,1.094
67,84752,Park Si-yeon,1.663
68,1130534, ,0.0
69,84749,Yoon Jong-seok,0.6
70,35091,Scott Grimes,1.286
